provider,region,instance,cost
aws,US East (N. Virginia),c4.xlarge,0.199
aws,US East (N. Virginia),c4.2xlarge,0.398
aws,US East (N. Virginia),c4.4xlarge,0.796
aws,US East (N. Virginia),c4.8xlarge,1.591
aws,US East (N. Virginia),p3.2xlarge,3.06
aws,US East (N. Virginia),p3.8xlarge,12.24
aws,US East (N. Virginia),p3.16xlarge,24.48
aws,US East (N. Virginia),p2.xlarge,0.9
aws,US East (N. Virginia),p2.8xlarge,7.2
aws,US East (N. Virginia),p2.16xlarge,14.4
aws,US East (N. Virginia),g4dn.xlarge,0.526
aws,US East (N. Virginia),g4dn.2xlarge,0.752
aws,US East (N. Virginia),g4dn.4xlarge,1.204
aws,US East (N. Virginia),g4dn.8xlarge,2.176
aws,US East (N. Virginia),g4dn.12xlarge,3.912
aws,US East (N. Virginia),g4dn.16xlarge,4.352
aws,US East (N. Virginia),g3.4xlarge,1.14
aws,US East (N. Virginia),g3.8xlarge,2.28
aws,US East (N. Virginia),g3.16xlarge,4.56
aws,US East (N. Virginia),g3s.xlarge,0.75
aws,US East (N. Virginia),x1.16xlarge,6.669
aws,US East (N. Virginia),x1.32xlarge,13.338
aws,US East (N. Virginia),x1e.xlarge,0.834
aws,US East (N. Virginia),x1e.2xlarge,1.668
aws,US East (N. Virginia),x1e.4xlarge,3.336
aws,US East (N. Virginia),x1e.8xlarge,6.672
aws,US East (N. Virginia),x1e.16xlarge,13.344
aws,US East (N. Virginia),x1e.32xlarge,26.688
aws,US East (N. Virginia),r5.large,0.126
aws,US East (N. Virginia),r5.xlarge,0.252
aws,US East (N. Virginia),r5.2xlarge,0.504
aws,US East (N. Virginia),r5.4xlarge,1.008
aws,US East (N. Virginia),r5.8xlarge,2.016
aws,US East (N. Virginia),r5.12xlarge,3.024
aws,US East (N. Virginia),r5.16xlarge,4.032
aws,US East (N. Virginia),r5.24xlarge,6.048
aws,US East (N. Virginia),r5.metal,6.048
aws,US East (N. Virginia),r5a.large,0.113
aws,US East (N. Virginia),r5a.xlarge,0.226
aws,US East (N. Virginia),r5a.2xlarge,0.452
aws,US East (N. Virginia),r5a.4xlarge,0.904
aws,US East (N. Virginia),r5a.8xlarge,1.808
aws,US East (N. Virginia),r5a.12xlarge,2.712
aws,US East (N. Virginia),r5a.16xlarge,3.616
aws,US East (N. Virginia),r5a.24xlarge,5.424
aws,US East (N. Virginia),r5ad.large,0.131
aws,US East (N. Virginia),r5ad.xlarge,0.262
aws,US East (N. Virginia),r5ad.2xlarge,0.524
aws,US East (N. Virginia),r5ad.4xlarge,1.048
aws,US East (N. Virginia),r5ad.12xlarge,3.144
aws,US East (N. Virginia),r5ad.24xlarge,6.288
aws,US East (N. Virginia),r5d.large,0.144
aws,US East (N. Virginia),r5d.xlarge,0.288
aws,US East (N. Virginia),r5d.2xlarge,0.576
aws,US East (N. Virginia),r5d.4xlarge,1.152
aws,US East (N. Virginia),r5d.8xlarge,2.304
aws,US East (N. Virginia),r5d.12xlarge,3.456
aws,US East (N. Virginia),r5d.16xlarge,4.608
aws,US East (N. Virginia),r5d.24xlarge,6.912
aws,US East (N. Virginia),r5d.metal,6.912
aws,US East (N. Virginia),r5dn.large,0.167
aws,US East (N. Virginia),r5dn.xlarge,0.334
aws,US East (N. Virginia),r5dn.2xlarge,0.668
aws,US East (N. Virginia),r5dn.4xlarge,1.336
aws,US East (N. Virginia),r5dn.8xlarge,2.672
aws,US East (N. Virginia),r5dn.12xlarge,4.008
aws,US East (N. Virginia),r5dn.16xlarge,5.344
aws,US East (N. Virginia),r5dn.24xlarge,8.016
aws,US East (N. Virginia),r5n.large,0.149
aws,US East (N. Virginia),r5n.xlarge,0.298
aws,US East (N. Virginia),r5n.2xlarge,0.596
aws,US East (N. Virginia),r5n.4xlarge,1.192
aws,US East (N. Virginia),r5n.8xlarge,2.384
aws,US East (N. Virginia),r5n.12xlarge,3.576
aws,US East (N. Virginia),r5n.16xlarge,4.768
aws,US East (N. Virginia),r5n.24xlarge,7.152
aws,US East (N. Virginia),r4.large,0.133
aws,US East (N. Virginia),r4.xlarge,0.266
aws,US East (N. Virginia),r4.2xlarge,0.532
aws,US East (N. Virginia),r4.4xlarge,1.064
aws,US East (N. Virginia),r4.8xlarge,2.128
aws,US East (N. Virginia),r4.16xlarge,4.256
aws,US East (N. Virginia),z1d.large,0.186
aws,US East (N. Virginia),z1d.xlarge,0.372
aws,US East (N. Virginia),z1d.2xlarge,0.744
aws,US East (N. Virginia),z1d.3xlarge,1.116
aws,US East (N. Virginia),z1d.6xlarge,2.232
aws,US East (N. Virginia),z1d.12xlarge,4.464
aws,US East (N. Virginia),z1d.metal,4.464
aws,US East (N. Virginia),i3.large,0.156
aws,US East (N. Virginia),i3.xlarge,0.312
aws,US East (N. Virginia),i3.2xlarge,0.624
aws,US East (N. Virginia),i3.4xlarge,1.248
aws,US East (N. Virginia),i3.8xlarge,2.496
aws,US East (N. Virginia),i3.16xlarge,4.992
