provider,region,instance
aws,EU (Ireland),p2.16xlarge
aws,EU (Ireland),p3.2xlarge
aws,EU (Ireland),p3.8xlarge
aws,EU (Ireland),p3.16xlarge
aws,EU (Ireland),g3.4xlarge
aws,EU (Ireland),g3.8xlarge
aws,EU (Ireland),g3.16xlarge
aws,US West (N. California),t2.medium
aws,US West (N. California),t2.large
aws,US West (N. California),t2.xlarge
aws,US West (N. California),t2.2xlarge
aws,US West (N. California),c4.large
aws,US West (N. California),c4.xlarge
aws,US West (N. California),c4.2xlarge
aws,US West (N. California),c4.4xlarge
aws,US West (N. California),c4.8xlarge
aws,US West (N. California),c5.large
aws,US West (N. California),c5.xlarge
aws,US West (N. California),c5.2xlarge
aws,US West (N. California),c5.4xlarge
aws,US West (N. California),c5.9xlarge
aws,US West (N. California),r4.large
aws,US West (N. California),r4.xlarge
aws,US West (N. California),r4.2xlarge
aws,US West (N. California),r4.4xlarge
aws,US West (N. California),r4.8xlarge
aws,US West (N. California),r4.16xlarge
aws,US West (N. California),m3.large
aws,US West (N. California),m3.xlarge
aws,US West (N. California),m3.2xlarge
aws,US West (N. California),m4.large
aws,US West (N. California),m4.xlarge
aws,US West (N. California),m4.2xlarge
aws,US West (N. California),m4.4xlarge
aws,US West (N. California),m4.10xlarge
aws,US West (N. California),m4.16xlarge
aws,US West (N. California),m5.large
aws,US West (N. California),m5.xlarge
aws,US West (N. California),m5.2xlarge
aws,US West (N. California),m5.4xlarge
aws,US West (N. California),m5.12xlarge
aws,US West (N. California),m5.24xlarge
aws,US West (N. California),p2.xlarge
aws,US West (N. California),p2.8xlarge
aws,US West (N. California),p2.16xlarge
aws,US West (N. California),p3.2xlarge
aws,US West (N. California),p3.8xlarge
aws,US West (N. California),p3.16xlarge
aws,US West (N. California),g3.4xlarge
aws,US West (N. California),g3.8xlarge
aws,US West (N. California),g3.16xlarge
aws,EU (Paris),t2.medium
aws,EU (Paris),t2.large
aws,EU (Paris),t2.xlarge
aws,EU (Paris),t2.2xlarge
aws,EU (Paris),c4.large
aws,EU (Paris),c4.xlarge
aws,EU (Paris),c4.2xlarge
aws,EU (Paris),c4.4xlarge
aws,EU (Paris),c4.8xlarge
aws,EU (Paris),c5.large
aws,EU (Paris),c5.xlarge
aws,EU (Paris),c5.2xlarge
aws,EU (Paris),c5.4xlarge
aws,EU (Paris),c5.9xlarge
aws,EU (Paris),r4.large
aws,EU (Paris),r4.xlarge
aws,EU (Paris),r4.2xlarge
aws,EU (Paris),r4.4xlarge
aws,EU (Paris),r4.8xlarge
aws,EU (Paris),r4.16xlarge
aws,EU (Paris),m3.large
aws,EU (Paris),m3.xlarge
aws,EU (Paris),m3.2xlarge
aws,EU (Paris),m4.large
aws,EU (Paris),m4.xlarge
aws,EU (Paris),m4.2xlarge
aws,EU (Paris),m4.4xlarge
aws,EU (Paris),m4.10xlarge
aws,EU (Paris),m4.16xlarge
aws,EU (Paris),m5.large
aws,EU (Paris),m5.xlarge
aws,EU (Paris),m5.2xlarge
aws,EU (Paris),m5.4xlarge
aws,EU (Paris),m5.12xlarge
aws,EU (Paris),m5.24xlarge
aws,EU (Paris),p2.xlarge
aws,EU (Paris),p2.8xlarge
aws,EU (Paris),p2.16xlarge
aws,EU (Paris),p3.2xlarge
aws,EU (Paris),p3.8xlarge
aws,EU (Paris),p3.16xlarge
aws,EU (Paris),g3.4xlarge
aws,EU (Paris),g3.8xlarge
aws,EU (Paris),g3.16xlarge
aws,US West (Oregon),t2.medium
aws,US West (Oregon),t2.large
aws,US West (Oregon),t2.xlarge
aws,US West (Oregon),t2.2xlarge
aws,US West (Oregon),c4.large
aws,US West (Oregon),c4.xlarge
aws,US West (Oregon),c4.2xlarge
aws,US West (Oregon),c4.4xlarge
aws,US West (Oregon),c4.8xlarge
aws,US West (Oregon),c5.large
aws,US West (Oregon),c5.xlarge
aws,US West (Oregon),c5.2xlarge
aws,US West (Oregon),c5.4xlarge
aws,US West (Oregon),c5.9xlarge
aws,US West (Oregon),r4.large
aws,US West (Oregon),r4.xlarge
aws,US West (Oregon),r4.2xlarge
aws,US West (Oregon),r4.4xlarge
aws,US West (Oregon),r4.8xlarge
aws,US West (Oregon),r4.16xlarge
aws,US West (Oregon),m3.large
aws,US West (Oregon),m3.xlarge
aws,US West (Oregon),m3.2xlarge
aws,US West (Oregon),m4.large
aws,US West (Oregon),m4.xlarge
aws,US West (Oregon),m4.2xlarge
aws,US West (Oregon),m4.4xlarge
aws,US West (Oregon),m4.10xlarge
aws,US West (Oregon),m4.16xlarge
aws,US West (Oregon),m5.large
aws,US West (Oregon),m5.xlarge
aws,US West (Oregon),m5.2xlarge
aws,US West (Oregon),m5.4xlarge
aws,US West (Oregon),m5.12xlarge
aws,US West (Oregon),m5.24xlarge
aws,US West (Oregon),p2.xlarge
aws,US West (Oregon),p2.8xlarge
aws,US West (Oregon),p2.16xlarge
aws,US West (Oregon),p3.2xlarge
aws,US West (Oregon),p3.8xlarge
aws,US West (Oregon),p3.16xlarge
aws,US West (Oregon),g3.4xlarge
aws,US West (Oregon),g3.8xlarge
aws,US West (Oregon),g3.16xlarge
aws,Asia Pacific (Tokyo),t2.medium
aws,Asia Pacific (Tokyo),t2.large
aws,Asia Pacific (Tokyo),t2.xlarge
aws,Asia Pacific (Tokyo),t2.2xlarge
aws,Asia Pacific (Tokyo),c4.large
aws,Asia Pacific (Tokyo),c4.xlarge
aws,Asia Pacific (Tokyo),c4.2xlarge
aws,Asia Pacific (Tokyo),c4.4xlarge
aws,Asia Pacific (Tokyo),c4.8xlarge
aws,Asia Pacific (Tokyo),c5.large
aws,Asia Pacific (Tokyo),c5.xlarge
aws,Asia Pacific (Tokyo),c5.2xlarge
aws,Asia Pacific (Tokyo),c5.4xlarge
aws,Asia Pacific (Tokyo),c5.9xlarge
aws,Asia Pacific (Tokyo),r4.large
aws,Asia Pacific (Tokyo),r4.xlarge
aws,Asia Pacific (Tokyo),r4.2xlarge
aws,Asia Pacific (Tokyo),r4.4xlarge
aws,Asia Pacific (Tokyo),r4.8xlarge
aws,Asia Pacific (Tokyo),r4.16xlarge
aws,Asia Pacific (Tokyo),m3.large
aws,Asia Pacific (Tokyo),m3.xlarge
aws,Asia Pacific (Tokyo),m3.2xlarge
aws,Asia Pacific (Tokyo),m4.large
aws,Asia Pacific (Tokyo),m4.xlarge
aws,Asia Pacific (Tokyo),m4.2xlarge
aws,Asia Pacific (Tokyo),m4.4xlarge
aws,Asia Pacific (Tokyo),m4.10xlarge
aws,Asia Pacific (Tokyo),m4.16xlarge
aws,Asia Pacific (Tokyo),m5.large
aws,Asia Pacific (Tokyo),m5.xlarge
aws,Asia Pacific (Tokyo),m5.2xlarge
aws,Asia Pacific (Tokyo),m5.4xlarge
aws,Asia Pacific (Tokyo),m5.12xlarge
aws,Asia Pacific (Tokyo),m5.24xlarge
aws,Asia Pacific (Tokyo),p2.xlarge
aws,Asia Pacific (Tokyo),p2.8xlarge
aws,Asia Pacific (Tokyo),p2.16xlarge
aws,Asia Pacific (Tokyo),p3.2xlarge
aws,Asia Pacific (Tokyo),p3.8xlarge
aws,Asia Pacific (Tokyo),p3.16xlarge
aws,Asia Pacific (Tokyo),g3.4xlarge
aws,Asia Pacific (Tokyo),g3.8xlarge
aws,Asia Pacific (Tokyo),g3.16xlarge
aws,US East (Ohio),t2.medium
aws,US East (Ohio),t2.large
aws,US East (Ohio),t2.xlarge
aws,US East (Ohio),t2.2xlarge
aws,US East (Ohio),c4.large
aws,US East (Ohio),c4.xlarge
aws,US East (Ohio),c4.2xlarge
aws,US East (Ohio),c4.4xlarge
aws,US East (Ohio),c4.8xlarge
aws,US East (Ohio),c5.large
aws,US East (Ohio),c5.xlarge
aws,US East (Ohio),c5.2xlarge
aws,US East (Ohio),c5.4xlarge
aws,US East (Ohio),c5.9xlarge
aws,US East (Ohio),r4.large
aws,US East (Ohio),r4.xlarge
aws,US East (Ohio),r4.2xlarge
aws,US East (Ohio),r4.4xlarge
aws,US East (Ohio),r4.8xlarge
aws,US East (Ohio),r4.16xlarge
aws,US East (Ohio),m3.large
aws,US East (Ohio),m3.xlarge
aws,US East (Ohio),m3.2xlarge
aws,US East (Ohio),m4.large
aws,US East (Ohio),m4.xlarge
aws,US East (Ohio),m4.2xlarge
aws,US East (Ohio),m4.4xlarge
aws,US East (Ohio),m4.10xlarge
aws,US East (Ohio),m4.16xlarge
aws,US East (Ohio),m5.large
aws,US East (Ohio),m5.xlarge
aws,US East (Ohio),m5.2xlarge
aws,US East (Ohio),m5.4xlarge
aws,US East (Ohio),m5.12xlarge
aws,US East (Ohio),m5.24xlarge
aws,US East (Ohio),p2.xlarge
aws,US East (Ohio),p2.8xlarge
aws,US East (Ohio),p2.16xlarge
aws,US East (Ohio),p3.2xlarge
aws,US East (Ohio),p3.8xlarge
aws,US East (Ohio),p3.16xlarge
aws,US East (Ohio),g3.4xlarge
aws,US East (Ohio),g3.8xlarge
aws,US East (Ohio),g3.16xlarge
aws,Asia Pacific (Seoul),t2.medium
aws,Asia Pacific (Seoul),t2.large
aws,Asia Pacific (Seoul),t2.xlarge
aws,Asia Pacific (Seoul),t2.2xlarge
aws,Asia Pacific (Seoul),c4.large
aws,Asia Pacific (Seoul),c4.xlarge
aws,Asia Pacific (Seoul),c4.2xlarge
aws,Asia Pacific (Seoul),c4.4xlarge
aws,Asia Pacific (Seoul),c4.8xlarge
aws,Asia Pacific (Seoul),c5.large
aws,Asia Pacific (Seoul),c5.xlarge
aws,Asia Pacific (Seoul),c5.2xlarge
aws,Asia Pacific (Seoul),c5.4xlarge
aws,Asia Pacific (Seoul),c5.9xlarge
aws,Asia Pacific (Seoul),r4.large
aws,Asia Pacific (Seoul),r4.xlarge
aws,Asia Pacific (Seoul),r4.2xlarge
aws,Asia Pacific (Seoul),r4.4xlarge
aws,Asia Pacific (Seoul),r4.8xlarge
aws,Asia Pacific (Seoul),r4.16xlarge
aws,Asia Pacific (Seoul),m3.large
aws,Asia Pacific (Seoul),m3.xlarge
aws,Asia Pacific (Seoul),m3.2xlarge
aws,Asia Pacific (Seoul),m4.large
aws,Asia Pacific (Seoul),m4.xlarge
aws,Asia Pacific (Seoul),m4.2xlarge
aws,Asia Pacific (Seoul),m4.4xlarge
aws,Asia Pacific (Seoul),m4.10xlarge
aws,Asia Pacific (Seoul),m4.16xlarge
aws,Asia Pacific (Seoul),m5.large
