instance,cpu,memory
E4v4,4.0,32.0
E64-16dsv4,16.0,504.0
E64-16sv3,16.0,432.0
E64-16sv4,16.0,504.0
E64-32dsv4,32.0,504.0
E64-32sv3,32.0,432.0
E64-32sv4,32.0,504.0
E64asv4,64.0,512.0
E64av4,64.0,512.0
E64dsv4,64.0,504.0
E64dv4,64.0,504.0
E64isv3,64.0,432.0
E64iv3,64.0,432.0
E64sv3,64.0,432.0
E64sv4,64.0,504.0
E64v3,64.0,432.0
E64v4,64.0,504.0
E8-2dsv4,2.0,64.0
E8-2sv3,2.0,64.0
E8-2sv4,2.0,64.0
E8-4dsv4,4.0,64.0
E8-4sv3,4.0,64.0
E8-4sv4,4.0,64.0
E8asv4,8.0,64.0
E8av4,8.0,64.0
E8dsv4,8.0,64.0
E8dv4,8.0,64.0
E8sv3,8.0,64.0
E8sv4,8.0,64.0
E8v3,8.0,64.0
E8v4,8.0,64.0
E96asv4,96.0,672.0
E96av4,96.0,672.0
F1,1.0,2.0
F16,16.0,32.0
F16s,16.0,32.0
F16sv2,16.0,32.0
F1s,1.0,2.0
F2,2.0,4.0
F2s,2.0,4.0
F2sv2,2.0,4.0
F32sv2,32.0,64.0
F4,4.0,8.0
F48sv2,48.0,96.0
F4s,4.0,8.0
F4sv2,4.0,8.0
F64sv2,64.0,128.0
F72sv2,72.0,144.0
F8,8.0,16.0
F8s,8.0,16.0
F8sv2,8.0,16.0
G1,2.0,28.0
G2,4.0,56.0
G3,8.0,112.0
G4,16.0,224.0
G5,32.0,448.0
Gs1,2.0,28.0
Gs2,4.0,56.0
Gs3,8.0,112.0
Gs4,16.0,224.0
Gs4-4,4.0,224.0
Gs4-8,8.0,224.0
Gs5,32.0,448.0
Gs5-16,16.0,448.0
Gs5-8,8.0,448.0
H16,16.0,112.0
H16m,16.0,224.0
H16mr,16.0,224.0
H16r,16.0,112.0
H8,8.0,56.0
H8m,8.0,112.0
HB120rsv2,120.0,480.0
HB60rs,60.0,240.0
HC44rs,44.0,352.0
L16s,16.0,128.0
L16sv2,16.0,128.0
L32s,32.0,256.0
L32sv2,32.0,256.0
L48sv2,48.0,384.0
L4s,4.0,32.0
L64sv2,64.0,512.0
L80sv2,80.0,640.0
L8s,8.0,64.0
L8sv2,8.0,64.0
M128,128.0,2048.0
M128-32ms,32.0,3800.0
M128-64ms,64.0,3800.0
M128m,128.0,3892.0
M128ms,128.0,3892.0
M128s,128.0,2048.0
M16-4ms,4.0,438.0
M16-8ms,8.0,438.0
